,Age,Gender,Race,Living_area,Income,Bus_usage,Challenges,,,,,,Limited_routes,Inadequate_Service,Highcost,Preferown,Safety_1,Insufficient_info,Carry_items,Disabilities,Overcrowded,Privacy_concernbus,Improvements,,,,,,,Buslanes_2,App_2,Services_2,Hybrid_2,Hours_2,Sharing_2,Loyalty_2,Purpose,,,,,,Work,Education,Medical,Leisure,Shopping,Church,Other,Wait_time,Commute_time,Getting_tostation,Time_spend,Concern_COVID19,Reasons_COVID19,,,Overcrowded,Masks,Socialdistance,Smartphone,Application_used,,,Google,CATS,Other,Satisfaction_CATS,Reasons_CATS,,,Schedule_3,Userfriendly_3,Slow_3,Others_3,Willingness_Uber,Desired_timeline,Ticket_location,Willingness_newapp,Concern_newapp,Willingness_travelapp,Interested_intech,,,,Wait_time,Trip,Privacy,App
13,45-54,Male,Other,East,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,Work,Leisure,,,,1,0,0,1,1,0,0,20_30,5_10,Walk,10_20,veryConcerned,Overcrowded,,,1,0,0,No,NA,,,0,0,0,Verysatisfied,Schedule,,,1,0,0,0,No,30,MobileApp,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
14,18-24,Male,White,North,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,30,5_10,Dropoff,20_30,Notimportant,Socialdistance,,,0,0,1,No,CATS,,,0,1,0,Somewhatsatisfied,Schedule,,,1,0,0,0,No,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
15,55-64,Female,Black,West,12.5K_45K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,,,,,,0,0,0,0,1,0,0,10_20,5_10,Anotherbus,10_20,UsuallyConcerned,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,NA,NA,,,0,0,0,0,No,30,Other,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
16,55-64,Male,White,West,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,10_20,10_20,Anotherbus,5_10,veryConcerned,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,Verysatisfied,NA,,,0,0,0,0,No,30,MobileApp,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
17,35-44,Male,Black,Outside,45K_80K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,10_20,5_10,Walk,10_20,Notimportant,Masks,,,0,1,0,Yes,Google,,,1,0,0,Verysatisfied,Userfriendly,,,0,1,0,0,Yes,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
18,25-34,Male,Black,West,12.5K_45K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,10_20,10_20,Anotherbus,20_30,UsuallyConcerned,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,Verysatisfied,Userfriendly,,,0,1,0,0,No,30,MobileApp,No,Needs,Verywilling,Wait_time,,,,1,0,0,0
19,65-74,Male,White,West,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,Medical,,,,,0,0,1,0,1,0,0,20_30,5_10,Anotherbus,10_20,UsuallyConcerned,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,NA,NA,,,0,0,0,0,No,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
20,55-64,Female,Black,West,12.5K_45K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,,,,,,0,0,0,0,1,0,0,5_10,5_10,Anotherbus,5_10,UsuallyConcerned,Socialdistance,,,0,0,1,No,NA,,,0,0,0,NA,NA,,,0,0,0,0,No,30,CTC,Yes,Privacy,Somewhatwilling,Wait_time,,,,1,0,0,0
21,45-54,Male,White,North,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,10_20,20_30,Walk,10_20,UsuallyConcerned,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,Verysatisfied,Slow,,,0,0,1,0,No,30,MobileApp,Yes,Trust_inapp,Verywilling,Wait_time,,,,1,0,0,0
22,65-74,Male,Black,North,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,30,30,Anotherbus,30,UsuallyConcerned,Overcrowded,,,1,0,0,Yes,Other,,,0,0,1,NA,NA,,,0,0,0,0,No,30,CTC,No,Privacy,Unwilling,Wait_time,,,,1,0,0,0
